date,timestamp,station,value
2025-05-31,2025-05-31 12:49:09,SPO-LU0101A_00010_100,
2025-05-31,2025-05-31 12:49:09,GB_SamplingPoint_107,0.033635176718235
2025-05-31,2025-05-31 12:49:09,SPO-DK0045A_00010_100,0.0386303924024105
2025-05-31,2025-05-31 12:49:09,SPO-CH0005A_00010_502,0.0291846487671136
2025-05-31,2025-05-31 12:49:09,GB_SamplingPoint_112,
2025-05-31,2025-05-31 12:49:09,SPO-CH0010A_00010_500,0.0303876269608736
2025-05-31,2025-05-31 12:49:09,SP_28079035_6_48,0.0281941052526235
2025-05-31,2025-05-31 12:49:09,SPO-FR04055_10,
2025-05-31,2025-05-31 12:49:09,GB_SamplingPoint_127,
2025-05-31,2025-05-31 12:49:09,SP_15030027_6_48,
2025-05-31,2025-05-31 14:24:09,SPO-PT03082_00010_100,0.0303229335695505
2025-05-31,2025-05-31 14:24:09,SPO-PT03071_00010_100,0.0271501913666725
2025-05-31,2025-05-31 14:29:09,SPO-PT03071_00010_100,0.0268801134079694
2025-05-31,2025-05-31 14:29:09,SP_15030027_6_48,
2025-05-31,2025-05-31 14:29:09,SPO-PT03082_00010_100,0.0303229335695505
2025-06-01,2025-06-01 00:59:09,SPO-EE0018A_00010_100,
2025-06-01,2025-06-01 00:59:09,SPO-DK0045A_00010_100,
2025-06-08,2025-06-08 00:29:09,SPO-EE0018A_00010_100,
2025-06-08,2025-06-08 00:29:09,SPO-DK0045A_00010_100,
2025-06-08,2025-06-08 02:09:09,SPO-DK0045A_00010_100,
2025-06-08,2025-06-08 02:09:09,GB_SamplingPoint_107,
2025-06-08,2025-06-08 02:09:09,GB_SamplingPoint_127,
2025-06-08,2025-06-08 02:09:09,GB_SamplingPoint_112,
2025-06-08,2025-06-08 02:09:09,SPO-CH0005A_00010_502,
2025-06-08,2025-06-08 02:09:09,SPO-FR04055_10,
2025-06-08,2025-06-08 02:09:09,GB_SamplingPoint_61573,
2025-06-08,2025-06-08 02:09:09,GB_SamplingPoint_205,
2025-06-08,2025-06-08 02:09:09,SPO-LU0101A_00010_100,
2025-06-08,2025-06-08 02:09:09,SPO-CH0010A_00010_500,
2025-06-08,2025-06-08 02:14:09,SPO-FR04055_10,
2025-06-08,2025-06-08 02:14:09,SPO-CH0005A_00010_502,
2025-06-08,2025-06-08 02:14:09,SPO-CH0010A_00010_500,
2025-06-08,2025-06-08 03:49:09,GB_SamplingPoint_112,
2025-06-08,2025-06-08 03:49:09,GB_SamplingPoint_61573,
2025-06-08,2025-06-08 03:49:09,GB_SamplingPoint_107,
2025-06-08,2025-06-08 10:19:09,SPO-EE0018A_00010_100,0.0471153818070888
2025-06-08,2025-06-08 11:54:09,SPO-GR0022A_00010_101,0.0305573809891939
2025-06-08,2025-06-08 11:54:09,SPO-GR0031A_00010_131,0.0350910387933254
2025-06-08,2025-06-08 11:59:09,SPO-CH0005A_00010_502,
2025-06-08,2025-06-08 11:59:09,SPO-FR03043_10,0.0578437596559524
2025-06-08,2025-06-08 11:59:09,GB_SamplingPoint_205,
2025-06-08,2025-06-08 11:59:09,SPO-LU0101A_00010_100,0.0382062196731567
2025-06-08,2025-06-08 11:59:09,GB_SamplingPoint_107,
2025-06-08,2025-06-08 11:59:09,SPO-FR04055_10,0.0589117184281349
2025-06-08,2025-06-08 11:59:09,SP_08169009_6_48,
2025-06-08,2025-06-08 11:59:09,SPO-EE0018A_00010_100,
2025-06-08,2025-06-08 11:59:09,SP_08019054_6_48,
2025-06-08,2025-06-08 11:59:09,SPO-DK0045A_00010_100,0.0530185736715793
2025-06-08,2025-06-08 11:59:09,GB_SamplingPoint_127,
