timestamp,station,value
2025-06-03 11:49:09,SPO-GR0022A_00010_101,0.0333530455827713
2025-06-03 11:54:09,GB_SamplingPoint_205,0.05609484016895294
2025-06-03 11:54:09,GB_SamplingPoint_112,0.04776071012020111
2025-06-03 11:54:09,SPO-EE0018A_00010_100,0.030687520280480385
2025-06-03 11:54:09,SPO-FR04055_10,0.045404527336359024
2025-06-03 11:54:09,SPO-DK0045A_00010_100,0.04147764667868614
2025-06-03 11:54:09,SPO-LU0101A_00010_100,0.03735000267624855
2025-06-03 11:54:09,GB_SamplingPoint_127,0.04947338253259659
2025-06-03 11:54:09,GB_SamplingPoint_61573,0.04300948977470398
2025-06-03 11:54:09,GB_SamplingPoint_107,0.04384244233369827
2025-06-03 13:29:09,SPO-FR03043_10,0.02742154523730278
2025-06-03 13:29:09,SP_28092005_6_48,0.02835606038570404
2025-06-03 13:29:09,SP_30016020_6_48,0.03142985329031944
2025-06-03 13:29:09,SP_08169009_6_48,0.030472705140709877
2025-06-03 13:29:09,SP_28079035_6_48,0.0306752510368824
2025-06-03 13:29:09,SPO-PT03083_00010_100,0.06340711563825607
2025-06-03 13:29:09,SP_08019057_6_48,0.03208083286881447
2025-06-03 13:29:09,SP_15030027_6_48,0.0511903390288353
2025-06-03 13:29:09,SP_08019054_6_48,
2025-06-03 13:29:09,SP_08089005_6_48,0.030472705140709877
2025-06-03 13:29:09,SPO-PT03082_00010_100,0.06727083772420883
2025-06-03 13:29:09,SPO-PT03071_00010_100,0.06617846339941025
2025-06-03 13:29:09,SP_08301004_6_48,0.030472705140709877
2025-06-03 13:34:09,GB_SamplingPoint_112,0.04741142317652702
2025-06-03 13:34:09,GB_SamplingPoint_107,0.04933856055140495
2025-06-03 13:34:09,SPO-FR04055_10,0.056244950741529465
2025-06-03 13:34:09,SPO-LU0101A_00010_100,0.034713566303253174
2025-06-03 13:34:09,SPO-CH0010A_00010_500,
2025-06-03 13:34:09,GB_SamplingPoint_205,
2025-06-03 13:34:09,GB_SamplingPoint_127,0.046653322875499725
2025-06-03 13:34:09,GB_SamplingPoint_61573,0.039324332028627396
2025-06-04 00:04:09,SPO-EE0018A_00010_100,
2025-06-04 01:44:09,GB_SamplingPoint_107,
2025-06-04 01:44:09,GB_SamplingPoint_61573,
2025-06-04 01:44:09,SPO-EE0018A_00010_100,
2025-06-04 01:44:09,GB_SamplingPoint_112,
2025-06-04 01:44:09,GB_SamplingPoint_127,
2025-06-04 01:44:09,SPO-LU0101A_00010_100,
2025-06-04 01:44:09,GB_SamplingPoint_205,
2025-06-04 01:44:09,SPO-DK0045A_00010_100,
2025-06-04 03:24:09,GB_SamplingPoint_205,
2025-06-04 03:24:09,GB_SamplingPoint_61573,
2025-06-04 03:24:09,GB_SamplingPoint_112,
2025-06-04 03:24:09,GB_SamplingPoint_127,
2025-06-04 09:54:09,SPO-EE0018A_00010_100,0.05100860819220543
2025-06-04 11:29:09,SPO-GR0022A_00010_101,0.02790694497525692
2025-06-04 11:29:09,SPO-GR0031A_00010_131,0.027654295787215233
2025-06-04 11:34:09,GB_SamplingPoint_61573,0.0256467554718256
2025-06-04 11:34:09,SPO-CH0005A_00010_502,
2025-06-04 11:34:09,SPO-CH0010A_00010_500,
2025-06-04 11:34:09,GB_SamplingPoint_205,0.05382669344544411
2025-06-04 11:34:09,SPO-DK0045A_00010_100,0.04450788348913193
2025-06-04 11:34:09,SPO-LU0101A_00010_100,0.03829369321465492
2025-06-04 11:34:09,SPO-FR04055_10,0.039451923221349716
2025-06-04 11:34:09,GB_SamplingPoint_127,0.06138577312231064
2025-06-04 11:34:09,SPO-EE0018A_00010_100,0.04090962931513786
2025-06-04 13:09:09,SPO-PT03071_00010_100,0.03319314867258072
2025-06-04 13:09:09,SPO-PT03082_00010_100,0.03319314867258072
2025-06-04 13:09:09,SPO-PT03083_00010_100,0.034423597157001495
2025-06-04 13:09:09,SP_08089005_6_48,0.03776204213500023
2025-06-04 13:09:09,SP_08169009_6_48,0.03873654454946518
2025-06-04 13:09:09,SP_08019054_6_48,0.04292036220431328
2025-06-04 13:09:09,SP_30016020_6_48,0.047337766736745834
2025-06-04 13:09:09,SP_08019057_6_48,0.03824048116803169
2025-06-04 13:09:09,SP_28092005_6_48,0.03324298560619354
2025-06-04 13:09:09,SP_08301004_6_48,0.03776204213500023
2025-06-04 13:09:09,SP_28079035_6_48,0.03655350208282471
2025-06-04 13:14:09,SP_08301004_6_48,
2025-06-04 13:14:09,SPO-FR03043_10,0.04644225165247917
2025-06-04 13:14:09,SPO-PT03071_00010_100,0.03319314867258072
2025-06-04 13:14:09,SPO-PT03082_00010_100,0.03319314867258072
2025-06-04 13:14:09,SP_28092005_6_48,0.03389991074800491
2025-06-04 13:14:09,SP_08169009_6_48,0.03824048116803169
2025-06-04 13:14:09,SP_15030027_6_48,0.03709123283624649
2025-06-04 13:14:09,SP_08019057_6_48,0.03824048116803169
2025-06-04 13:14:09,SP_28079035_6_48,0.03655350208282471
2025-06-04 13:14:09,SP_08019054_6_48,0.04292036220431328
2025-06-04 13:14:09,SP_08089005_6_48,
2025-06-04 13:14:09,SPO-FR04055_10,0.03984557464718819
2025-06-04 13:14:09,SPO-PT03083_00010_100,0.034423597157001495
2025-06-04 13:14:09,GB_SamplingPoint_112,0.04352938383817673
2025-06-04 13:14:09,GB_SamplingPoint_127,0.04037821665406227
2025-06-04 13:14:09,SPO-CH0005A_00010_502,
2025-06-04 13:14:09,GB_SamplingPoint_205,0.04949247092008591
